Prompt,Image Path,Category,Style,Time
"Astronauts conducting a spacewalk to repair a damaged spaceship, with Earth visible in the background.",./output_files/images/image_32.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Raytraced,9
"Astronauts floating outside a spaceship, repairing a solar panel, with Earth in the background.",./output_files/images/image_33.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Illustration,8.4
"An astronaut floating outside the space station, surrounded by stars and Earth in the background.",./output_files/images/image_34.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Environment,9
"Astronaut floating outside spaceship, repairing solar panel. Stars in background. Dramatic lighting.",./output_files/images/image_35.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Sketch B/W,7.2
"Astronauts floating outside a spaceship, repairing a solar panel with Earth in the background.",./output_files/images/image_36.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Raytraced,8.4
"An astronaut floating outside the International Space Station, with Earth in the background.",./output_files/images/image_37.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Photography,7.8
"Astronaut floating in a space station surrounded by twinkling stars, gazing out a window. Sketch B/W.",./output_files/images/image_38.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Sketch B/W,9.6
"Astronaut floating outside spaceship, repairing solar panels against backdrop of colorful nebulae.",./output_files/images/image_39.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Sketch Color,7.2
"A group of astronauts floating in zero gravity inside a spaceship, conducting experiments with colorful liquids.",./output_files/images/image_40.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",General,9.6
"Two astronauts floating outside their spaceship, repairing a damaged solar panel with Earth in the background.",./output_files/images/image_41.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",3D Render,9.6
"Astronaut gazing at Earth from space station window, surrounded by twinkling stars.",./output_files/images/image_42.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Photography,7.2
"Astronaut floating outside spaceship, repairing solar panels with Earth in the background.",./output_files/images/image_43.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Environment,7.2
A group of intrepid space explorers navigating through a treacherous asteroid field in their high-tech spacecraft.,./output_files/images/image_44.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Anime,9.6
"Astronauts exploring a distant planet, with their spaceship looming in the background against a starry sky.",./output_files/images/image_45.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",3D Render,9.6
"Astronauts on a spacewalk repairing a damaged satellite, with Earth in the background.",./output_files/images/image_46.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Dynamic,7.8
"Astronauts exploring a distant alien planet, surrounded by colorful flora and strange creatures.",./output_files/images/image_47.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",Illustration,7.8
"A spacecraft navigating through a dense asteroid field, with the sun shining brightly in the background.",./output_files/images/image_48.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",General,9.6
"Astronauts preparing for a deep space mission, suited up in a futuristic spaceship interior.",./output_files/images/image_49.jpg,"Space Exploration - Includes astronauts, spaceships, space missions, etc.",3D Render,8.4
"A majestic dragon soaring through a mystical forest, its scales shimmering in the sunlight.",./output_files/images/image_50.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Environment,8.4
"A majestic dragon soaring through a fiery sky, its scales gleaming in the sunlight.",./output_files/images/image_51.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Dynamic,8.4
"A majestic dragon soaring through a stormy sky, lightning crackling around its scales.",./output_files/images/image_52.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Sketch B/W,7.8
"A unicorn standing in a mystical forest, surrounded by vibrant flowers and sparkling streams.",./output_files/images/image_53.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Environment,8.4
"A majestic dragon perched on a cliff, overlooking a vast, misty landscape below.",./output_files/images/image_54.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Sketch B/W,7.8
"A majestic dragon soaring through a starlit sky, its scales glinting in the moonlight.",./output_files/images/image_55.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Raytraced,8.4
A majestic unicorn grazing in a field of vibrant rainbow flowers under a sparkling starlit sky.,./output_files/images/image_56.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Creative,9.6
"A majestic unicorn galloping through a magical forest, surrounded by vibrant flowers and sparkling butterflies.",./output_files/images/image_57.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Anime,9
"A majestic dragon soaring through a fiery sky, scales glistening in the sunlight, wings outstretched.",./output_files/images/image_58.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",General,9
"A mystical unicorn galloping through a field of vibrant wildflowers, its horn glowing with magical energy.",./output_files/images/image_59.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Dynamic,9.6
"A majestic dragon soaring through a vibrant sky, its scales shimmering in the sunlight.",./output_files/images/image_60.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",3D Render,8.4
A majestic unicorn with a rainbow-colored mane galloping through a mystical forest at sunset.,./output_files/images/image_61.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Sketch Color,8.4
"A majestic unicorn gracefully galloping through a misty forest, its horn glinting in the moonlight.",./output_files/images/image_62.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Sketch B/W,9
"A majestic dragon soaring through stormy skies, lightning crackling in the background. Sketch B/W.",./output_files/images/image_63.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Sketch B/W,8.4
"A majestic dragon soaring through a fiery sunset sky, its scales glittering in the golden light.",./output_files/images/image_64.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Photography,9.6
"A majestic dragon soaring through a stormy sky, lightning crackling around its scales.",./output_files/images/image_65.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Illustration,7.8
"A majestic dragon soaring above a lush forest, its iridescent scales shimmering in the sunlight.",./output_files/images/image_66.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Environment,9
"A regal unicorn standing in a mystical forest, surrounded by shimmering fireflies and colorful flowers.",./output_files/images/image_67.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Raytraced,9
"A majestic dragon soaring through a stormy sky, lightning crackling around it, wings outstretched.",./output_files/images/image_68.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Dynamic,8.4
"A majestic dragon soaring through a stormy sky, lightning crackling around its scales.",./output_files/images/image_69.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",General,7.8
"A majestic dragon soaring through a vibrant sunset sky, its scales gleaming in the golden light.",./output_files/images/image_70.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Raytraced,9.6
"A majestic dragon soaring through a stormy sky, lightning crackling around its scales.",./output_files/images/image_71.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Dynamic,7.8
A majestic unicorn prancing through a mystical forest filled with vibrant flowers and sparkling fairies.,./output_files/images/image_72.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Illustration,9
"A majestic dragon soaring through a stormy sky, lightning crackling around its powerful wings.",./output_files/images/image_73.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Environment,8.4
"A majestic dragon soaring through a stormy sky, lightning crackling around its scales.",./output_files/images/image_74.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Illustration,7.8
"A mystical mermaid swimming gracefully through crystal clear waters, her iridescent tail glinting in the sunlight.",./output_files/images/image_75.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Photography,9.6
"A fierce dragon soaring through a stormy sky, its scales shimmering in the lightning.",./output_files/images/image_76.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Anime,8.4
"A majestic dragon soaring through a fiery sunset sky, its scales shimmering in the golden light.",./output_files/images/image_77.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Creative,9.6
"A majestic dragon soaring through a stormy sky, lightning crackling around its scales.",./output_files/images/image_78.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Dynamic,7.8
"A majestic dragon soaring through a vibrant sky, breathing fire against a backdrop of swirling clouds.",./output_files/images/image_79.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Sketch Color,9.6
"A majestic unicorn galloping through a forest, its horn sparkling in the moonlight.",./output_files/images/image_80.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Sketch B/W,7.8
"A mystical mermaid swimming gracefully through a crystal-clear ocean, her iridescent tail shimmering in the sunlight.",./output_files/images/image_81.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Environment,9.6
A majestic unicorn prancing through a field of vibrant wildflowers under a rainbow-filled sky.,./output_files/images/image_82.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",General,8.4
"Capture a majestic dragon soaring through a fiery sunset, its scales glistening in the fading light.",./output_files/images/image_83.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Photography,9.6
"A majestic dragon soaring through a stormy sky, lightning crackling around its scales.",./output_files/images/image_84.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Dynamic,7.8
"A majestic dragon soaring through a stormy sky, lightning crackling around its scales.",./output_files/images/image_85.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Illustration,7.8
"A majestic dragon soaring through stormy skies, lightning crackling around its powerful wings.",./output_files/images/image_86.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Sketch B/W,7.8
"A majestic unicorn galloping through a mystical forest, its iridescent horn glowing in the sunlight.",./output_files/images/image_87.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Raytraced,9
"A mysterious mermaid swimming gracefully through a turquoise sea, her shimmering scales glistening in the sunlight.",./output_files/images/image_88.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Raytraced,9.6
"A majestic dragon soaring through a stormy sky, lightning crackling around its powerful wings.",./output_files/images/image_89.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Dynamic,8.4
"A graceful unicorn galloping through a mystical forest, surrounded by vibrant flowers and shimmering butterflies.",./output_files/images/image_90.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Raytraced,9
"A majestic dragon soaring through a fiery sky, its scales shimmering in the sunlight.",./output_files/images/image_91.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Dynamic,8.4
"A majestic dragon soaring through a stormy sky, lightning crackling around its powerful wings.",./output_files/images/image_92.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Environment,8.4
"A majestic unicorn frolics through a mystical forest, its iridescent horn glowing in the sunlight.",./output_files/images/image_93.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Environment,9
"A majestic dragon soaring through a stormy sky, lightning crackling around its scales.",./output_files/images/image_94.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Dynamic,7.8
"A majestic dragon soaring through a vibrant sunset sky, its wings outstretched in all their glory.",./output_files/images/image_95.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Photography,9.6
"A majestic dragon soaring through a stormy sky, lightning crackling around its powerful wings.",./output_files/images/image_96.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Anime,8.4
"A mystical mermaid swimming gracefully through crystal clear waters, her shimmering tail glinting in the sunlight.",./output_files/images/image_97.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Raytraced,9.6
"A majestic dragon soaring through a fiery sky, with its scales glistening in the sunlight.",./output_files/images/image_98.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Photography,9
"A majestic dragon soaring through a stormy sky, lightning crackling around its scales.",./output_files/images/image_99.jpg,"Mythical Creatures - Includes dragons, unicorns, phoenixes, etc.",Illustration,7.8
"A brave knight in shimmering armor facing a fiery dragon in a dark, enchanted forest.",./output_files/images/image_100.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",General,9
"An elven archer perched in a tree, aiming an arrow at an approaching orc army below.",./output_files/images/image_101.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Anime,9.6
"A group of dwarves mining for precious gems in a glowing underground cave, illuminated by torchlight.",./output_files/images/image_102.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",3D Render,9.6
"An elegant elven archer perched on a tree branch, aiming an arrow at a distant target.",./output_files/images/image_103.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Environment,9.6
A brave knight in shining armor riding a majestic dragon through a fiery battlefield.,./output_files/images/image_104.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",3D Render,8.4
"A valiant knight in full armor, standing atop a cliff, overlooking a vast, mystical kingdom.",./output_files/images/image_105.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Sketch B/W,9
A brave knight riding a majestic unicorn through a mystical forest at sunset.,./output_files/images/image_106.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Sketch Color,7.8
"A mighty knight on a quest to defeat a fierce dragon in a misty, enchanted forest.",./output_files/images/image_107.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Environment,9.6
"A lone knight standing on a cliff, gazing at a fiery dragon in the distance.",./output_files/images/image_108.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Photography,9
A group of knights in shining armor riding majestic unicorns into battle against a fiery dragon.,./output_files/images/image_109.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",3D Render,9.6
"An elegant elf practicing archery in a mystical woodland, surrounded by glowing fireflies.",./output_files/images/image_110.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Anime,7.8
"A valiant knight in shining armor battling a fire-breathing dragon in a dark, rocky cave.",./output_files/images/image_111.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Sketch B/W,9
"A brave knight standing tall on a cliff, overlooking a vast kingdom below.",./output_files/images/image_112.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Creative,7.8
"A knight in shining armor facing a fierce dragon in a dark, misty forest.",./output_files/images/image_113.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Creative,8.4
A noble knight riding a majestic unicorn through a magical forest at sunset.,./output_files/images/image_114.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Sketch Color,7.8
A valiant knight battling a fire-breathing dragon in a mystical forest at sunset.,./output_files/images/image_115.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Raytraced,7.8
"An elegant elf princess casting a powerful spell in a mystical forest, surrounded by glowing orbs.",./output_files/images/image_116.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Sketch Color,9.6
"A valiant knight, clad in shining armor, battles a fierce dragon in a fiery cavern.",./output_files/images/image_117.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",3D Render,9
"A brave knight standing tall atop a cliff, overlooking a mystical kingdom below.",./output_files/images/image_118.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Environment,7.8
"A fierce knight battling a fire-breathing dragon in a dark, enchanted forest.",./output_files/images/image_119.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Anime,7.2
"A brave knight standing tall in a mystical forest, sword gleaming in the sunlight.",./output_files/images/image_120.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Raytraced,8.4
"A group of mischievous elves casting spells in a moonlit meadow, surrounded by colorful magical orbs.",./output_files/images/image_121.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",General,9.6
"A brave knight battling a fierce dragon in a dark, misty forest.",./output_files/images/image_122.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Sketch B/W,7.2
"A valiant knight standing atop a rocky cliff, sword raised triumphantly under a fiery sunset.",./output_files/images/image_123.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Environment,9
A brave knight riding a majestic unicorn through a mystical forest.,./output_files/images/image_124.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Sketch B/W,6.6
A valiant knight riding a majestic dragon into battle against a horde of dark elves.,./output_files/images/image_125.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Dynamic,9
"A brave knight standing tall in full armor, gazing at a dragon in the distance.",./output_files/images/image_126.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Sketch B/W,9
"A valiant knight facing a fierce dragon in a misty forest clearing, sword raised high.",./output_files/images/image_127.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",General,9
"A brave knight riding a majestic dragon through a stormy sky, lightning crackling in the background.",./output_files/images/image_128.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Sketch Color,9.6
"A brave knight battling a fire-breathing dragon in a dark, rocky cave.",./output_files/images/image_129.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Sketch B/W,7.2
"A rogue ninja assassin with dual swords sneaks through a shadowy alleyway, ready to strike.",./output_files/images/image_130.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Anime,9
"A brave knight riding a majestic dragon through a stormy sky, lightning striking in the background.",./output_files/images/image_131.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Sketch B/W,9.6
"A valiant knight standing atop a cliff, overlooking a mystical forest shrouded in mist.",./output_files/images/image_132.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Illustration,8.4
"A brave knight facing a fire-breathing dragon in a dark, misty forest.",./output_files/images/image_133.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Environment,7.2
A brave knight embarks on a quest to retrieve a magical sword from a dragon's lair.,./output_files/images/image_134.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Creative,9.6
"An elven archer perched atop a tree, aiming at a dragon flying above.",./output_files/images/image_135.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Dynamic,7.8
"A brave knight riding a majestic dragon through a stormy sky, ready for battle.",./output_files/images/image_136.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Illustration,8.4
"A noble knight riding a majestic dragon through a stormy sky, lightning crackling in the background.",./output_files/images/image_137.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Illustration,9.6
"A group of dwarves forging enchanted weapons in a hidden underground cave, illuminated by glowing crystals.",./output_files/images/image_138.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",3D Render,9.6
A brave knight in shining armor facing off against a fearsome dragon in a fiery battle.,./output_files/images/image_139.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Anime,9.6
"A brave knight riding a majestic dragon through a stormy sky, lightning crackling in the background.",./output_files/images/image_140.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Sketch Color,9.6
"A brave knight standing tall on a cliff, overlooking a vast kingdom below.",./output_files/images/image_141.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Photography,7.8
"A valiant knight battling a fearsome dragon in a dark, misty forest.",./output_files/images/image_142.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Illustration,7.2
"A brave knight standing tall in a misty forest, sword raised, ready for battle.",./output_files/images/image_143.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Photography,8.4
"A brave knight in shining armor battles a fire-breathing dragon in a dark, ominous cave.",./output_files/images/image_144.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Anime,9
A valiant knight riding a majestic unicorn through a mystical forest at sunset.,./output_files/images/image_145.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Environment,7.8
"A brave knight standing tall on a hill, overlooking a vast kingdom at sunset.",./output_files/images/image_146.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Sketch Color,8.4
"A valiant knight charging into battle on a majestic unicorn, under a fiery sky.",./output_files/images/image_147.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Dynamic,8.4
"A group of fairies dancing around a magical waterfall, their wings shimmering with iridescent light.",./output_files/images/image_148.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Raytraced,9
"An elegant elven archer perched atop a tree, aiming an arrow at an approaching enemy army.",./output_files/images/image_149.jpg,"Fantasy Characters - Includes knights, elves, wizards, etc.",Dynamic,9.6
"A futuristic transportation pod speeding through a neon-lit cityscape, propelled by advanced magnetic levitation technology.",./output_files/images/image_150.jpg,"Futuristic Technology - Includes futuristic tech devices, industrial robots, etc.",Photography,9
"A sleek, silver robotic arm delicately assembling intricate circuit boards in a high-tech manufacturing facility.",./output_files/images/image_151.jpg,"Futuristic Technology - Includes futuristic tech devices, industrial robots, etc.",Raytraced,9
"A sleek, futuristic tech device with holographic display, set against a backdrop of a bustling cityscape.",./output_files/images/image_152.jpg,"Futuristic Technology - Includes futuristic tech devices, industrial robots, etc.",Sketch B/W,9.6
"A sleek, silver holographic tablet displaying advanced AI capabilities against a neon-lit cityscape backdrop.",./output_files/images/image_153.jpg,"Futuristic Technology - Includes futuristic tech devices, industrial robots, etc.",Sketch Color,8.4
"A sleek, silver industrial robot assembles a futuristic flying car in a bustling factory.",./output_files/images/image_154.jpg,"Futuristic Technology - Includes futuristic tech devices, industrial robots, etc.",Environment,8.4
"An advanced holographic communication device projecting a virtual meeting room, with futuristic skyscrapers in the background.",./output_files/images/image_155.jpg,"Futuristic Technology - Includes futuristic tech devices, industrial robots, etc.",Environment,9.6
"A sleek, silver industrial robot with glowing LED eyes assembling cars in a futuristic automated factory.",./output_files/images/image_156.jpg,"Futuristic Technology - Includes futuristic tech devices, industrial robots, etc.",Photography,9.6
"A sleek, silver industrial robot assembling a complex spaceship in a futuristic space station.",./output_files/images/image_157.jpg,"Futuristic Technology - Includes futuristic tech devices, industrial robots, etc.",Photography,8.4
